Label,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
Undefined,2014-09-22,2014,9,22,Monday,38,2014-38,37.0,37.0,35.44,35.58,10964300.0,33.86,0.0,33.86,33.86
Undefined,2014-09-23,2014,9,23,Tuesday,38,2014-38,35.04,35.77,34.64,35.33,12146800.0,33.62,-0.007026471358604014,33.739999999999995,33.739999999999995
Undefined,2014-09-24,2014,9,24,Wednesday,38,2014-38,35.47,36.34,35.18,36.12,8487700.0,34.38,0.022360612484122244,33.95333333333333,33.95333333333333
Undefined,2014-09-25,2014,9,25,Thursday,38,2014-38,35.88,35.98,34.87,35.21,10931800.0,33.51,-0.025193937164414204,33.842499999999994,33.842499999999994
Undefined,2014-09-26,2014,9,26,Friday,38,2014-38,35.25,36.12,35.02,35.93,8514800.0,34.19,0.02044872280150933,33.91199999999999,33.91199999999999
Undefined,2014-09-29,2014,9,29,Monday,39,2014-39,35.35,35.75,34.94,35.03,7485000.0,33.34,-0.025048494560175442,33.81666666666666,33.81666666666666
Undefined,2014-09-30,2014,9,30,Tuesday,39,2014-39,35.05,35.85,34.34,35.48,10657900.0,33.77,0.012846135186100671,33.809999999999995,33.809999999999995
Undefined,2014-10-01,2014,10,1,Wednesday,39,2014-39,34.72,34.94,33.85,34.39,19443300.0,32.73,-0.03072147075334286,33.675,33.675
Undefined,2014-10-02,2014,10,2,Thursday,39,2014-39,34.47,35.38,33.51,33.93,21476300.0,32.29,-0.013376004639793604,33.52111111111111,33.52111111111111
Undefined,2014-10-03,2014,10,3,Friday,39,2014-39,34.66,36.32,34.61,36.23,15076600.0,34.48,0.06778638453005525,33.617000000000004,33.617000000000004
Undefined,2014-10-06,2014,10,6,Monday,40,2014-40,36.31,36.5,34.86,34.93,12789300.0,33.24,-0.03588189367607442,33.58272727272728,33.58272727272728
Undefined,2014-10-07,2014,10,7,Tuesday,40,2014-40,34.75,35.02,34.06,34.09,10030100.0,32.44,-0.024047640632010703,33.487500000000004,33.487500000000004
Undefined,2014-10-08,2014,10,8,Wednesday,40,2014-40,34.53,34.55,32.6,33.0,22753600.0,31.41,-0.031974641760247564,33.32769230769231,33.32769230769231
Undefined,2014-10-09,2014,10,9,Thursday,40,2014-40,33.5,33.7,31.94,31.98,22634100.0,30.44,-0.030908939300255844,33.121428571428574,33.121428571428574
Undefined,2014-10-10,2014,10,10,Friday,40,2014-40,31.55,32.25,29.78,30.78,31018700.0,29.29,-0.03752350553786277,32.795,32.86600000000001
Undefined,2014-10-13,2014,10,13,Monday,41,2014-41,31.07,31.39,28.1,28.58,34532900.0,27.2,-0.07147508939896285,32.33642857142858,32.511875
Undefined,2014-10-14,2014,10,14,Tuesday,41,2014-41,29.29,32.18,29.28,31.51,28136800.0,29.99,0.10251937586309844,32.02285714285715,32.36352941176471
