Label,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
Undefined,8/3/2015,2015,8,3,Monday,31,2015-31,27.65,28.82,25.72,27.74,144700,27.74,0,27.74,27.74
Undefined,8/4/2015,2015,8,4,Tuesday,31,2015-31,27,27.03,24.61,25.8,129100,25.8,-0.069935148,26.77,26.77
Undefined,8/5/2015,2015,8,5,Wednesday,31,2015-31,27.11,27.47,24.56,25.24,107700,25.24,-0.021705388,26.26,26.26
Undefined,8/6/2015,2015,8,6,Thursday,31,2015-31,24.81,26.95,22.99,26.95,73100,26.95,0.067749643,26.4325,26.4325
Undefined,8/7/2015,2015,8,7,Friday,31,2015-31,27.5,27.5,24.2,26.5,52200,26.5,-0.016697625,26.446,26.446
Undefined,8/10/2015,2015,8,10,Monday,32,2015-32,25.76,26.5,25.46,26.14,51400,26.14,-0.013584943,26.395,26.395
Undefined,8/11/2015,2015,8,11,Tuesday,32,2015-32,25.44,26.02,24.56,25.38,141000,25.38,-0.029074217,26.25,26.25
Undefined,8/12/2015,2015,8,12,Wednesday,32,2015-32,25,26.21,25,25.99,172600,25.99,0.024034713,26.2175,26.2175
Undefined,8/13/2015,2015,8,13,Thursday,32,2015-32,26,26.6,25.76,26.2,229600,26.2,0.008080069,26.21555556,26.21555556
Undefined,8/14/2015,2015,8,14,Friday,32,2015-32,26.13,26.21,24.66,25.19,103300,25.19,-0.038549617,26.113,26.113
Undefined,8/17/2015,2015,8,17,Monday,33,2015-33,26.58,26.72,24.35,24.8,2090200,24.8,-0.015482413,25.99363636,25.99363636
Undefined,8/18/2015,2015,8,18,Tuesday,33,2015-33,24.65,26.95,24.5,26.06,3140300,26.06,0.050806454,25.99916667,25.99916667
Undefined,8/19/2015,2015,8,19,Wednesday,33,2015-33,25.6,27.09,25.49,26.77,1750200,26.77,0.027244859,26.05846154,26.05846154
Undefined,8/20/2015,2015,8,20,Thursday,33,2015-33,26.4,26.5,25.03,25.17,1584900,25.17,-0.059768397,25.995,25.995
Undefined,8/21/2015,2015,8,21,Friday,33,2015-33,24.89,26.85,24.5,25.18,3243600,25.18,0.000397298,25.81214286,25.94066667
Undefined,8/24/2015,2015,8,24,Monday,34,2015-34,23.93,25.18,23,24.37,3408200,24.37,-0.032168348,25.71,25.8425
